Source,Target,Type,Weight
553,675,directed,1
554,675,directed,1
555,675,directed,1
563,675,directed,1
564,675,directed,1
565,675,directed,1
566,675,directed,1
567,675,directed,1
568,675,directed,1
569,675,directed,1
570,675,directed,1
575,675,directed,1
585,675,directed,1
586,675,directed,1
590,675,directed,1
591,675,directed,1
593,675,directed,1
595,675,directed,1
596,675,directed,1
597,675,directed,1
599,675,directed,1
600,675,directed,1
601,675,directed,1
602,675,directed,1
603,675,directed,1
604,675,directed,1
605,675,directed,1
606,675,directed,1
607,675,directed,1
608,675,directed,1
609,675,directed,1
610,675,directed,1
611,675,directed,1
612,675,directed,1
613,675,directed,1
614,675,directed,1
617,675,directed,1
618,675,directed,1
619,675,directed,1
620,675,directed,1
621,675,directed,1
622,675,directed,1
623,675,directed,1
624,675,directed,1
625,675,directed,1
626,675,directed,1
627,675,directed,1
632,675,directed,1
250,675,directed,1
250,735,directed,1
253,735,directed,1
162,735,directed,1
251,735,directed,1
411,735,directed,1
591,735,directed,1
596,735,directed,1
607,735,directed,1
587,735,directed,1
597,735,directed,1
575,735,directed,1
624,735,directed,1
601,735,directed,1
593,735,directed,1
608,735,directed,1
600,735,directed,1
603,735,directed,1
253,675,directed,1
251,675,directed,1
474,737,directed,1
650,737,directed,1
616,738,directed,1
412,738,directed,1
495,739,directed,1
506,739,directed,1
45,739,directed,1
473,720,directed,1
467,720,directed,1
458,720,directed,1
470,720,directed,1
452,720,directed,1
460,740,directed,1
464,740,directed,1
481,740,directed,1
484,740,directed,1
636,656,directed,1
637,656,directed,1
638,656,directed,1
639,656,directed,1
162,656,directed,1
13,656,directed,1
101,656,directed,1
635,656,directed,1
638,656,directed,1
640,656,directed,1
641,656,directed,1
642,656,directed,1
643,656,directed,1
644,656,directed,1
646,656,directed,1
645,656,directed,1
118,656,directed,1
242,656,directed,1
546,656,directed,1
552,656,directed,1
647,729,directed,1
647,712,directed,1
546,712,directed,1
552,712,directed,1
557,712,directed,1
118,712,directed,1
652,715,directed,1
653,715,directed,1
475,715,directed,1
453,685,directed,1
454,685,directed,1
456,685,directed,1
476,685,directed,1
