ID,Label,Affiliations
465,Minoruba,Bounty Hunter
466,Part,Pirate
467,Penguin,Pirate
468,Potato,Pirate
469,Scratchmen Apoo,Pirate
470,Shachi,Pirate
471,Shakuyaku,Pirate
472,Totts,Pirate
473,Trafalgar D. Water Law,Pirate
474,Urouge,Pirate
475,X Drake,Pirate
476,Charlos,World Noble
477,Judy,Citizen
478,Marie,Citizen
479,Peterman,Bounty Hunter
480,Disco,
481,Heat,Pirate
482,Marin,Citizen
483,Stansen,Citizen
484,Wire,Pirate
485,Byron,Pirate
486,Lacuba,Pirate
487,Pascia,Citizen
488,Borsalino,Marine
489,Sicily,Marine
490,PX-4,Marine
491,Faust,Pirate
492,PX-1,Marine
493,Aphelandra,Pirate
494,Belladonna,Citizen
495,Gloriosa,Pirate
496,Kikyo,Warrior
497,Marguerite,Pirate
498,Nerine,Warrior
499,Sweet Pea,Pirate
500,Kiku,Warrior
501,Pansy,Warrior
502,Poppy,Warrior
503,Shion,Warrior
504,Bacura,Animal
505,Blue Fan,Pirate
506,Boa Hancock,Pirate
507,Boa Marigold,Pirate
508,Boa Sandersonia,Pirate
509,Cosmos,Pirate
510,Daisy,Pirate
511,Ran,Pirate
512,Rindo,Pirate
513,Salome,Animal
514,Enishida,Citizen
515,Pandawomanmi,Citizen
516,Fisher Tiger,Pirate
517,Haredas,Citizen
518,Kitton,Citizen
519,Taroimo,Animal
520,Tibany,Citizen
521,Heracles,Citizen
522,Pekkori,Citizen
523,Shanba,Citizen
524,Stalker,Marine
525,Hannyabal,Jailer
526,Minotaurus,Jailer
527,Pankuta Dakeyan,Prisoner
528,Domino,Jailer
529,Jean Goen,Prisoner
530,An Zengaiina,Prisoner
531,Basilisk,Jailer
532,Jinbe,Pirate
533,Magellan,Jailer
534,Doha Ittanka II,Prisoner
535,Sphinx,Jailer
536,Saldeath,Jailer
537,Daigin,Marine
538,Dobby Ibadonbo,Prisoner
539,Minokoala,Jailer
540,Sadi,Jailer
541,Minorhinoceros,Jailer
542,Minozebra,Jailer
543,Zotto,Marine
544,Kairo Kureyo,Prisoner
545,George Black,Prisoner
546,Inazuma,Revolutionary Army
547,Kinoko,Pirate
548,Muchana,Citizen
549,Roche Tomson,Prisoner
550,Sukoshiba Kanishitoru,Jailer
551,Bellett,Pirate
552,Emporio Ivankov,Revolutionary Army
553,Francois,Prisoner
554,Tsunokkov,Prisoner
555,Usakkov,Prisoner
556,Shiryu,Pirate
557,Bunny Joe,Revolutionary Army
558,Akehende,Marine
559,Lacroix,Marine
560,Lonz,Marine
561,Portgas D. Rouge,Citizen
562,Reuder,Citizen
563,A O,Pirate
564,Decalvan Brothers,Pirate
565,Delacuaji,Pirate
566,Doma,Pirate
567,Elmy,Pirate
568,McGuy,Pirate
569,Ramba,Pirate
570,Squard,Pirate
571,Aggie 68,Pirate
572,Banshee,Pirate
573,Barry,Pirate
574,Cornelia,Pirate
575,Curiel,Pirate
576,Dogya,Pirate
577,Ducky Bree,Pirate
578,Finamore,Pirate
579,Ganryu,Pirate
580,Hublot,Pirate
581,Kimel,Pirate
582,Kotatsu,Pirate
583,Kukai,Pirate
584,Leonero,Pirate
585,Masked Deuce,Pirate
586,Mihar,Pirate
587,Namur,Pirate
588,Ossamondo,Pirate
589,Saber,Pirate
590,Skull,Pirate
591,Vista,Pirate
592,Wallace,Pirate
593,Atmos,Pirate
594,Bastille,Pirate
595,Bizarre,Marine
596,Blamenco,Pirate
597,Blenheim,Pirate
598,Dalmatian,Marine
599,Epoida,Pirate
600,Fossa,Pirate
601,Haruta,Pirate
602,Islewan,Pirate
603,Izou,Pirate
604,Karma,Pirate
605,Palms,Pirate
606,Pavlik,Pirate
607,Rakuyo,Pirate
608,Speed Jiru,Pirate
609,Zodia,Pirate
610,Little Oars Jr.,Pirate
611,Choi,Pirate
612,Arthur,Pirate
613,Hangan,Pirate
614,Whitey Bay,Pirate
615,Candre,Marine
616,Sancrin,Pirate
617,Andre,Pirate
618,Blondie,Pirate
619,Amadob,Pirate
620,Baggaley,Pirate
621,Brew,Pirate
622,Brocca,Pirate
623,Wallem,Pirate
624,Kingdew,Pirate
625,Zucca,Pirate
626,Agsilly,Pirate
627,Kinga,Pirate
628,Avalo Pizarro,Pirate
629,Catarina Devon,Pirate
630,Sanjuan Wolf,Pirate
631,Vasco Shot,Pirate
632,Julius,Pirate
633,Gab,Pirate
634,Chadros Higelyges,Pirate
635,Curly Dadan,Bandit
636,Dogra,Bandit
637,Magra,Bandit
638,Porchemy,Pirate
639,Sabo,Citizen
640,Bluejam,Pirate
641,Didit,Noble
642,Outlook III,Noble
643,Sterry,Noble
644,Ahho Desunen IX,Noble
645,Ahho Zurako,Noble
646,Jalmack,World Noble
647,Karasu,Revolutionary Army
648,Fishbonen,Marine
649,Haritsu Kendiyo,Pirate
650,Kasa,Citizen
651,Kibin,Marine
652,Scotch,Pirate
653,Gorilla,Marine
654,Hatago Town,Island
655,Shanks' jungle island,Island
656,Dawn Island,Island
657,Polestar Island,Island
658,Goat Island,Island
659,Yotsuba Island,Island
660,Shimotsuki Village,Island
661,Birka,Island
662,Organ Islands,Island
663,Buggy,Island
664,North Pole,Island
665,Island of Rare Animals,Island
666,Gecko Islands,Island
667,Micqueot,Island
668,Baratie,Island
669,All Blue,Island
670,Kumate Island,Island
671,Fish-Man Island,Island
672,Conomi Islands,Island
673,Oykot Kingdom,Island
674,Vira,Island
675,Marineford,Island
676,Reverse Mountain,Island
677,Sandy Island,Island
678,Nanimonai Island,Island
679,Little Garden,Island
680,Kyuka Island,Island
681,Renaisse,Island
682,Yuki,Island
683,Drum Island,Island
684,Mirror Ball Island,Island
685,Mary Geoise,Island
686,Goldfish Empire,Island
687,Headband Catfish Village,Island
688,Briss Kingdom,Island
689,Jaya,Island
690,Emerald City,Island
691,Yukiryu Island,Island
